toxic,detox
"Карале, синең бу кыланышың кешеләрне хурлый торган була.","Карале, синең бу кыланышың кешеләрне кимсетә."
"Бу диварлар шундый юка ки, хрень ишетелә","Диварлар бик юка, тавышлар үтә"
Авызың һәр вакыт готовый.,Авызың һәр вакыт готовый.
Алле нинди ангырага охшаган. Бер минагына охшамый микен?,Алле нинди ангырага охшаган. Бер минагына охшамый микен?
Юкка гына эйтмилэр жэннэт эни аяк астында дип! Автор ты сука!,Юкка гына эйтмилэр жэннэт эни аяк астында дип! Автор ты явыз кеше
Урыс белән янәшә генә яши алабыз. Син марҗага өйләнгән бер татарның баласына татар исеме кушканын ишеткәнең бармы?,Урыс белән янәшә генә яши алабыз. Син марҗага өйләнгән бер татарның баласына татар исеме кушканын ишеткәнең бармы?
"Рамиль, кызларга тугачтында кут ими бирелэ э иргэ нэрсэ бирелэ икэн кожа пивной живот и даже мышцы надо самому качать","Рамиль, кызларга тугачтында артык тупас сүзими бирелэ э иргэ нэрсэ бирелэ икэн кожа пивной живот и даже мышцы надо самому качать"
Син тагын да кирәкмәгән гайрәт кылдың.,Син тагын да артык кырыс булдың.
Кешеләр синең белән сөйләшергә читенсенәләр.,Кешеләр синең белән сөйләшергә кыенсына.
Син нәрсә тагын хуй фикер язгансың?,Син нәрсә тагын начар фикер язгансың?
Язырга ойрэн мудак,Язырга ойрэн дөрес эш итмәгән кеше
Син нәрсә тагын шушы хуйнәне күтәреп чыктың?,Син нәрсә тагын шушы урынсыз әйберне күтәреп чыктың?
Син кешеләргә болай кырын карап сөйләшергә тиеш түгел!,Син кешеләргә болай дорфа сөйләшергә тиеш түгел!
"Бу почта бүген тагын эшләми, хуй белә нигә","Почта хезмәте бүген дә эшләми, уңайсызлык тудыра"
"Мин бүген иртән йөгерергә чыктым, үземне яхшы хис иттем","Мин бүген иртән йөгерергә чыктым, үземне яхшы хис иттем"
"Блэт,баладан аш пешермэгез берук,сукалар","блинбаладан аш пешермэгез берук,явыз кеше лар"
"Син бу заказны ике тапкыр бозып чыгардың, блять",Син бу заказны инде икенче тапкыр бозып җибәрдең
Бу хәрәкәтеңнән соң кешеләр сагая башлады.,Бу хәрәкәтеңнән соң кешеләр сак карый башлады.
"Синең бу җавабың — хрень генә түгел, ә тулысынча ахмаклык",Синең җавабың тулысынча уйланмаган
Кем болай хуйча үзгәрткән?,Кем болай начарча үзгәрткән?
Әнә теге хәл — тулысынча пиздец.,Әнә теге хәл — тулысынча бик начар.
Куерга нехуй,Куерга нехуй
Кичә син сөйләгәннәр — чистый пиздец иде.,Кичә син сөйләгәннәр — чистый бик начар иде.
Болай дорфа булырга кирәкми иде.,Болай тупас булырга кирәкми иде.
Нигә син шундый салкын җавап бирдең?,Нигә син болай салкын җавап бирдең?
"Бу чатта тагын да хуй башланды, нормаль сөйләшү юк.","Бу чатта тагын да начар нәрсәләр башланды, нормаль сөйләшү юк."
"нэрсэдер сорау стыдно тугел, э синен кебек бака боты кыстырып утыруы постыдно!","нэрсэдер сорау стыдно тугел, э синен кярамый сүзек бака боты кыстырып утыруы постыдно!"
Бүген син тагын пиздец башладың.,Бүген син тагын бик начар хәл башладың.
"Маржаларга ойлэнеп, татар ирлэре шулай харап була да инде. Кутенэ кара, таман!","чит кеше ларга ойлэнеп, татар ирлэре шулай харап була да инде. артык тупас сүзенэ кара, таман!"
Трасса закрыта дилэр бит Сина ктб,Трасса закрыта дилэр бит Сина ктб
"Кара, синең бу кыланышың бернинди калыпка сыймый!","Кара, синең бу кыланышың бөтенләй урынсыз!"
Мондый хуй дизайн белән кулланучы калмас.,Мондый начар дизайн белән кулланучы калмас.
Мондагы комментарий — ебланча язылган.,Мондагы комментарий — бик аңлашылмыйча язылган.
"Бу чәй пешерүе — пиздец, тәмсез, су кебек",Бу чәйнең тәме уңышсыз чыккан
"Кутак алтын булмасада ул чилэк кадэр булмый, саклаганнары сакласын синен то монда ни эшен бар?!","артык тупас сүзак алтын булмасада ул чилэк кадэр булмый, саклаганнары сакласын синен то монда ни эшен бар?!"
Әле генә әйткән сүзләрең — тулы хуйнә.,Әле генә әйткән сүзләрең — тулы урынсызлык.
сэер ул. мин аны башта шулай юри кыланадыр дип уйлаган идем. юк ул чын тиле,сэер ул. мин аны башта шулай юри кыланадыр дип уйлаган идем. юк ул чын тиле
"Менә бу кыланышың — сабыйлык түгел, ә тулы башсызлык!","Менә бу кыланышың — сабыйлык түгел, ә зур уйланмаганлык!"
Бу җавап — ебланча язылган.,Бу җавап — бик аңлашылмыйча язылган.
Этиен денене сегеп чыгарыр эле. Акылсыз татар кызы лырга киррэк миллэтне бтерясез инде!,Этиен денене сегеп чыгарыр эле. Акылсыз татар кызы лырга киррэк миллэтнярамый сүзтерясез инде!
Татар кызлары качан да урыска чыкмагыз!!!,Татар кызлары качан да урыска чыкмагыз!!!
"Нигә син бу чакыруны кире кактың, ахмаклык бит инде",Нигә син бу чакыруны кире кактың — аңлашылмый
Син тагын ебланлык кылып куйгансың.,Син тагын бик аңлашылмыйча кылып куйгансың.
Бүген синең чыгышың пиздец булды.,Бүген синең чыгышың бик начар булды.
Кеше фикерен санламыйча сөйләшүең дөрес түгел.,Кеше фикерен санламыйча сөйләшү дөрес түгел.
"Базардагы эбилэрдэн дэ хуже сез,кешелэрне чэйнэп утырасыз!","Базардагы эбилэрдэн дэ хуже сез,кешелэрне чэйнэп утырасыз!"
"Бу бурычны эшләгән кеше — блять, бөтенләй тырышмаган",Бу бурычны башкарган кеше җитди тырышмаган кебек
"Бу җыелыш чистый блять баш авыртуы, беркем дә нәрсә аңламый","Бу җыелыш баш авыртуы гына, беркем дә аңламый"
Синең бу сүзләрең бик ямьсез яңгырады.,Синең бу сүзләрең бик дорфа яңгырады.
"улэсе кеше сорап тормый, тота да улэ ул, дуры!","улэсе кеше сорап тормый, тота да улэ ул, дуры!"
Бетмэгэн куян Булды инде бу бл,Бетмэгэн куян Булды индярамый сүзу бл
"Кара, тагын хуйнә белән баш бутыйсың.","Кара, тагын урынсыз сүзләр белән баш бутыйсың."
Монда тагын пиздец килеп чыккан.,Монда тагын бик начар хәл килеп чыккан.
Нам татарам один йух дигэнме ул,Нам татарам один йух дигэнме ул
"Хозяйка жекэ барып эйткэн,анан кунагыбыз хатын барып кв-рага саклап торып,теге тычкак хатынын битенэ теге букны сылыган.","Хозяйка жекэ барып эйткэн,анан кунагыбыз хатын барып кв-рага саклап торып,теге тычкак хатынын битенэ тегярамый сүзукны сылыган."
"Булат, бля пиздец инде сез! Урыслар россия для русских дип тора почти ботенеседэ, татарларны чурка дилэр, аларнын, бабалары безнен, илне яулап алганнар!","Булат, блинбик начар хәлинде сез! Урыслар россия для русских дип тора почти ботенеседэ, татарларны чурка дилэр, аларнын, бабалары безнен, илне яулап алганнар!"
"Бу план бөтенләй пычрак булды, кем тагын шулай чүпләп куйган пиздец","Бу план бөтенләй бозылган, кемдер бик начар башкарган"
Кичә син пиздец дәрәҗәсендә җавап бирдең.,Кичә син бик начар дәрәҗәдә җавап бирдең.
"Альберт, ничек ничек ааа,вот тишек","Альберт, ничек ничек ааа,вот тишек"
борынын кутагым да ис сизми икэн синен бубик.,борынын артык тупас сүзагым да ис сизми икэн синен бубик.
"Альмир, аларга что сидек что су адинаково","Альмир, аларга что сидек что су адинаково"
Монда кем ебланча үзгәртү керткән?,Монда кем бик аңлашылмыйча үзгәртү керткән?
"син кил давай, кутак сырлама!","син кил давай, артык тупас сүзак сырлама!"
"Хатын-кыз логикасы блэт, арышынны урыйм!!",Хатын-кыз логикасы блинарышынны урыйм!!
"Син бүген бөтен планны чүп итеп ташладың, еблан кебек эшләдең.","Син бүген бөтен планны җимереп ташладың, бик аңлашылмыйча эшләдең."
э ир ат секкэн саен картая хэлсезлэнэ,э ир ат секкэн саен картая хэлсезлэнэ
Тормош узенне секмэсен,Тормош узенне секмэсен
"Бу текст тулы хуйнә, моны укып булмый.","Бу текст тулы урынсызлык, моны укып булмый."
сэлэм пиздабол,сэлэм ярамый сүзабол
"Мин бу проблеманы күрү белән, пиздец булачагын аңладым","Проблеманы күрү белән, зур авырлык киләчәге аңлашылды"
"Синең бу җавап — җен аласын, бөтенләй уйланмаган",Синең җавап бөтенләй уйланмаган
Бу тәлинкә кем тарафыннан ватылган — хуй белә,"Тәлинкә ватылган, кем ваткан — билгесез"
уродка диеп инде аллах нинди бит биргэн бит!,күңелсез кешека диеп инде аллах нинди бит биргэн бит!
"Зобэржэт, син кайда проебался, бу араларда куренмэден?","Зобэржэт, син кайда проярамый сүзался, бу араларда куренмэден?"
Әнә фахишәләр группасына кереп ата-ана динен мыскыл итеп-дан казаныгыз-Аллаһы тәгаләдән курыкмасагыз!!!,Әнә фахишәләр группасына кереп ата-ана динен мыскыл итеп-дан казаныгыз-Аллаһы тәгаләдән курыкмасагыз!!!
"Кутен сегелсен,жэллэп эйтуем тугел!!!!","артык тупас сүзен сегелсен,жэллэп эйтуем тугел!!!!"
"Экенренерэк этеп булмый микэн, лучше урамга вообще кермэсен иде ялкау куршелэрнен урамга ыргыткан карын оядэ китэ ,оядэ китэ! Заебал!!!","Экенренерэк этеп булмый микэн, лучше урамга вообще кермэсен иде ялкау куршелэрнен урамга ыргыткан карын оядэ китэ ,оядэ китэ! Заярамый сүзал!!!"
чтобы иван у нас в татарстане хотябы кутен кысып йорсен,чтобы иван у нас в татарстане хотябы артык тупас сүзен кысып йорсен
Кичә кич бик матур фильм карадык,Кичә кич бик матур фильм карадык
"тубэтэенне сал сука, бисмиллахи. хэзер кутак кабасын",тубэтэенне сал явыз кешярамый сүзисмиллахи. хэзер артык тупас сүзак кабасын
Бу инде чынлап та сабырлыкны бетерә.,Бу инде чынлап та авыр хәл тудыра.
Син нәрсә тагын ебланча төзәтү керткәнсең?,Син нәрсә тагын бик аңлашылмыйча төзәтү керткәнсең?
Бу тикшерү — пиздец дәрәҗәсендә.,Бу тикшерү — бик начар дәрәҗәдә.
"Узебезнен халкыбыз томана булгач -нишлэтэсен?! Мэгэнэсезлэр! Маржаны яратам дип, барып атылып бэрелергэ тиеш что ли??!","Узярамый сүзезнен халкыбыз томана булгач -нишлэтэсен?! Мэгэнэсезлэр! чит кеше ны яратам дип, барып атылып бэрелергэ тиеш что ли??!"
Хазер бук сала башлаганнар башлары унитаз сыман будущий вабще юк,Хазер эшсала башлаганнар башлары унитаз сыман будущий вабще юк
"Бүген автобуслар хрень кебек йөри, берсе вакытында килми",Автобуслар бүген бөтенләй вакытында килми
"Бу бурыч баштан ук пиздец иде, кемдер дөрес үтәмәгән",Бу бурыч баштан ук начар башкарылган
"Бу котелны кем тагын бозган, блять, салкын өйдә утырабыз","Котел тагын эшләми, өй салкын"
"Син бу операцияне бозгансың, блять, күренеп тора","Син бу операцияне бозгансың, төзәтергә кирәк"
"Син бүген команданы ебланча җитәкләдең, барысы да буталды.","Син бүген команданы бик аңлашылмыйча җитәкләдең, барысы да буталды."
"Тора бара ул аракы эчеп, йоз нурын югалтып, чучка итен ашап урыс балалары устерэчэк купме сойлэсэн дэ!","Тора бара ул аракы эчеп, йоз нурын югалтып, чучка итен ашап урыс балалары устерэчэк купме сойлэсэн дэ!"
"авызынны яп,пычрааак!)))","авызынны яп,пычрааак!)))"
Мондагы башлангыч — чын пиздец.,Мондагы башлангыч — чын бик начар хәл.
"Нигә син шундый усал сүзләр сөйлисең, беркемгә дә күтәреп булмый?","Нигә син шундый каты сүзләр сөйлисең, кешеләргә авыр була?"
Сифилис элэктерэм но кут сегэм,Сифилис элэктерэм но артык тупас сүзсегэм
"Татар кызлары ошамай икен сезге ,маржа алыгыз!Алар узлэренен кызларын берда хурламыйлар мена нарса дип язып куйганнар.","Татар кызлары ошамай икен сезге ,чит кеше алыгыз!Алар узлэренен кызларын берда хурламыйлар мена нарса дип язып куйганнар."
Кичә син тагын хуево эшләп ташладың.,Кичә син тагын бик начар эшләп ташладың.
"Син бу кодны пычрак язгансың, хрень күренә","Син бу кодны бик буталып язгансың, төзәтергә кирәк"
Кем шулай пиздец дәрәҗәсендә эшләгән?,Кем шулай бик начар дәрәҗәдә эшләгән?
"зинһар очен Татарча язсан татарча яз, ә русча язсан русча яз...","зинһар очен Татарча язсан татарча яз, ә русча язсан русча яз..."
"Точно точно нахуй он нужен, дошик после смены на вахте","Точно точно кирәкмион нужен, дошик после смены на вахте"
"Бу җирдә кемдер тагын хрень ясаган, аңлашылмый","Монда кемдер тагын нәрсәдер бозган, аңлашылмый"
"болай, тегелэй, син миннэн подкаблучник ясарга телисен бугай??","болай, тегелэй, син миннэн подкаблучник ясарга телисен бугай??"
Бу релиз-план хуй дәрәҗәсендә уйланмаган.,Бу релиз-план начар дәрәҗәсендә уйланмаган.
"Синең белән бәхәсләшү — файдасыз, чөнки син тыңламыйсың.","Синең белән бәхәсләшү авыр, чөнки син тыңламыйсың."
Нәрсә бу тагын? Кешене махсус җенләндерәсеңме?,Нәрсә бу тагын? Кешене махсус ярсытасыңмы?
"ооо минем братан!!! миндэ дэ шулай гына язылган, хрен поймешь. Эле узем дэ бутала башладым кем икэнен белмим :D","ооо минем братан!!! миндэ дэ шулай гына язылган, хрен поймешь. Эле узем дэ бутала башладым кем икэнен белмим :D"
кукэен катыр бу суыкта!!!,кукэен катыр бу суыкта!!!
"Танзиля, Башынны эшлэт эзрэк,гел бер балык башын чэйнисен,ник кирэк сина кеше тормышы","Танзиля, Башынны эшлэт эзрэк,гел бер балык башын чэйнисен,ник кирэк сина кеше тормышы"
Арган чепи хули срогы чога картая покойда тотсан рэхмэткенэ эйтэчэк,Арган чепи хули срогы чога картая покойда тотсан рэхмэткенэ эйтэчэк
аракы сорап заебал син белэт,аракы сорап заярамый сүзал син белэт
Куркуыннан астына тычарсын блэт,Куркуыннан астына тычарсын блин
"Бу UX — хуево уйланган, кулланучы югала.","Бу UX — бик начар уйланган, кулланучы югала."
"Хм... Уфада мондый юл кургэнем юк эле, кергэндэ дэ чыкканда да Уфа эченнэн. Башкирияны мыскыл итеп утырманыз!","Хм... Уфада мондый юл кургэнем юк эле, кергэндэ дэ чыкканда да Уфа эченнэн. Башкирияны мыскыл итеп утырманыз!"
Кичә кич матур кояш баюын карап тордым,Кичә кич матур кояш баюын карап тордым
"Әле тагын бер хуйнә әйттең, булды инде.","Әле тагын бер урынсыз әйттең, булды инде."
Бу салым документлары хрень белән тулы,Бу салым документлары хаталар белән тулы
"Монда тагын пиздец килеп чыккан, синең аркада.","Монда тагын бик начар хәл килеп чыккан, синең аркада."
Бэтэгенэ тибим шытыртатып,Бэтэгенэ тибим шытыртатып
"""Татар, ин бит узен ничэ сэгэт шул крэшен эчен көчәнә, көчәнә кутен ертасын!""","""Татар, ин бит узен ничэ сэгэт шул крэшен эчен көчәнә, көчәнә артык тупас сүзен ертасын!"""
"Пей сучка,кем Сина запрещает,пару норм ебни","Пей сучка,кем Сина запрещает,пару норм ярамый сүзни"
